asset,AAPL,AMZN,BNB,BTC,ETH,GOOGL,JPM,META,MSFT,NVDA,SOL,SPY,TSLA,V,XRP
AAPL,1.0,0.5852005141296628,0.16765920051781685,0.20683794086412247,0.22199693332701545,0.6146946628056128,0.4296051603808089,0.5257336066675798,0.6782436530135535,0.5667109614380954,0.16710722812349418,0.7687949805932274,0.45525202800535636,0.5774691245766957,0.15852144664155038
AMZN,0.5852005141296628,1.0,0.15447224966234785,0.21088885336731092,0.21544721679591117,0.6391129162893919,0.3240693724840259,0.6093169320952344,0.6691778605732123,0.5770125455266369,0.19155512406033162,0.6711152691073196,0.4224545376567435,0.4562120575242274,0.15175745090598353
BNB,0.16765920051781685,0.15447224966234785,1.0,0.6442793679843148,0.6432750334996532,0.15463323692208472,0.13343364718836173,0.13971370548136539,0.18564805862449998,0.17914296605422098,0.40223987794016036,0.21617675211083612,0.13595553278167738,0.1534082657945486,0.4610780729172379
BTC,0.20683794086412247,0.21088885336731092,0.6442793679843148,1.0,0.8187289691171419,0.21628251123402312,0.18514025506777146,0.18035735954467752,0.24947175911108774,0.23439543112150188,0.42278856977221013,0.2796112240156221,0.19805265051406168,0.19528117535926265,0.5536483189364723
ETH,0.22199693332701545,0.21544721679591117,0.6432750334996532,0.8187289691171419,1.0,0.23820473528079328,0.18519305711780884,0.19167387766989757,0.255445678666386,0.2439574403628275,0.48621079754137353,0.29470362349510887,0.19194790218029975,0.21201730528208368,0.6084932873076186
GOOGL,0.6146946628056128,0.6391129162893919,0.15463323692208472,0.21628251123402312,0.23820473528079328,1.0,0.41384457554643217,0.6087824877768057,0.6891941572081247,0.5724526664229463,0.1817985970409945,0.7283200743929944,0.39995969786162244,0.532360512646835,0.16590645651690603
JPM,0.4296051603808089,0.3240693724840259,0.13343364718836173,0.18514025506777146,0.18519305711780884,0.41384457554643217,1.0,0.33059048634935423,0.43218277771102376,0.3594351041852157,0.12088505424260934,0.7093420292307748,0.29217015242581035,0.5943782730400586,0.14500995666704253
META,0.5257336066675798,0.6093169320952344,0.13971370548136539,0.18035735954467752,0.19167387766989757,0.6087824877768057,0.33059048634935423,1.0,0.5889683209352109,0.5247417610734121,0.14445650233643476,0.6223797595123673,0.3396200419561562,0.4440936241630298,0.12077350294152656
MSFT,0.6782436530135535,0.6691778605732123,0.18564805862449998,0.24947175911108774,0.255445678666386,0.6891941572081247,0.43218277771102376,0.5889683209352109,1.0,0.6494181617086,0.18284680003917014,0.7944282030288311,0.42871099478406305,0.6050164852405673,0.18441314847342272
NVDA,0.5667109614380954,0.5770125455266369,0.17914296605422098,0.23439543112150188,0.2439574403628275,0.5724526664229463,0.3594351041852157,0.5247417610734121,0.6494181617086,1.0,0.1988284377990361,0.6946656292711678,0.4464812794198038,0.4673228496276933,0.1635204289356463
SOL,0.16710722812349418,0.19155512406033162,0.40223987794016036,0.42278856977221013,0.48621079754137353,0.1817985970409945,0.12088505424260934,0.14445650233643476,0.18284680003917014,0.1988284377990361,1.0,0.2095288586981224,0.19234137118560554,0.14515379153763933,0.4177503628517262
SPY,0.7687949805932274,0.6711152691073196,0.21617675211083612,0.2796112240156221,0.29470362349510887,0.7283200743929944,0.7093420292307748,0.6223797595123673,0.7944282030288311,0.6946656292711678,0.2095288586981224,1.0,0.50421515990852,0.7572210520438751,0.2105289213691725
TSLA,0.45525202800535636,0.4224545376567435,0.13595553278167738,0.19805265051406168,0.19194790218029975,0.39995969786162244,0.29217015242581035,0.3396200419561562,0.42871099478406305,0.4464812794198038,0.19234137118560554,0.50421515990852,1.0,0.3474836970167807,0.16009301155875463
V,0.5774691245766957,0.4562120575242274,0.1534082657945486,0.19528117535926265,0.21201730528208368,0.532360512646835,0.5943782730400586,0.4440936241630298,0.6050164852405673,0.4673228496276933,0.14515379153763933,0.7572210520438751,0.3474836970167807,1.0,0.14280154111758198
XRP,0.15852144664155038,0.15175745090598353,0.4610780729172379,0.5536483189364723,0.6084932873076186,0.16590645651690603,0.14500995666704253,0.12077350294152656,0.18441314847342272,0.1635204289356463,0.4177503628517262,0.2105289213691725,0.16009301155875463,0.14280154111758198,1.0
